,homepage_url,funding_total_usd,country_code,region,funding_rounds,founded_at,founded_quarter,first_funding_at,last_funding_at,label,industry
48657,1,51126.0,BRA,Sao Paulo,1,2011-01-01,1,2012-05-01,2012-05-01,1,Unknown
48658,1,3840000.0,DNK,Copenhagen,3,2006-06-01,2,2003-06-01,2008-01-01,3,Music
48659,1,500000.0,USA,Boston,1,2007-06-04,2,2008-02-01,2008-02-01,1,Games
48660,1,100000.0,USA,Phoenix,1,2008-01-01,1,2009-11-12,2009-11-12,2,Enterprise Software
48662,1,447037.0,SWE,Malmo,1,2012-01-01,1,2014-02-06,2014-02-06,2,Enterprise Software
48665,1,13519213.0,USA,New York City,3,2010-01-01,1,2010-12-20,2014-02-04,5,Health and Wellness
48666,1,100000.0,GBR,London,1,2013-06-16,2,2013-06-30,2013-06-30,2,ECommerce
48668,1,3950000.0,USA,SF Bay Area,2,2011-01-28,1,2013-05-07,2014-02-04,5,Curated Web
48673,1,1200000.0,USA,New York City,1,2010-01-01,1,2012-03-22,2012-03-22,3,ECommerce
48674,1,145380.0,ESP,Malaga,1,2007-03-13,1,2008-02-12,2008-02-12,2,Curated Web
48675,1,150000.0,USA,Baltimore,1,2009-01-01,1,2011-03-06,2011-03-06,2,0_other_cat
48676,1,54000000.0,GBR,London,1,2000-01-01,1,2007-08-09,2007-08-09,5,Finance
48680,1,1100000.0,ISR,Tel Aviv,2,2007-01-01,1,2007-09-01,2009-04-01,3,Music
48682,1,310000.0,TUR,Istanbul,1,2012-04-01,2,2012-04-01,2012-04-01,2,Social Network Media
48683,1,1000000.0,FRA,Paris,1,2011-03-03,1,2011-03-01,2011-03-01,3,Curated Web
48684,1,16472000.0,USA,Anaheim,9,2007-01-01,1,2007-04-06,2014-06-01,5,0_other_cat
48685,1,410000.0,FRA,Paris,1,2012-09-03,3,2014-01-01,2014-01-01,2,Social Media
48686,1,180000.0,CAN,Vancouver,1,2009-01-11,1,2011-08-09,2011-08-09,2,Analytics
48691,1,1300000.0,USA,SF Bay Area,1,2006-01-01,1,2006-01-01,2006-01-01,4,Software
48692,1,1100000.0,USA,SF Bay Area,1,2010-07-07,3,2014-03-01,2014-03-01,3,0_other_cat
48694,1,450000.0,SWE,Gothenburg,2,2012-12-14,4,2012-11-01,2014-02-07,2,0_other_cat
48696,1,300000.0,USA,Seattle,1,2009-01-01,1,2011-06-29,2011-06-29,2,Unknown
48700,1,200000.0,USA,Los Angeles,1,2009-01-01,1,2010-10-01,2010-10-01,2,Enterprise Software
48702,0,1200.0,USA,MD  Other,1,2013-01-16,1,2014-05-14,2014-05-14,1,0_other_cat
48704,1,425000.0,USA,CT  Other,1,2006-10-01,4,2008-11-10,2008-11-10,1,Curated Web
48706,1,1300000.0,USA,SF Bay Area,1,2006-11-01,4,2006-12-01,2006-12-01,4,Video
48707,1,3300000.0,NOR,Oslo,2,2013-02-01,1,2013-10-02,2014-07-05,4,0_other_cat
48708,1,4000000.0,USA,Dallas,1,2008-01-01,1,2014-11-05,2014-11-05,5,Unknown
48711,1,1570000.0,USA,Hartford,3,2008-09-01,3,2009-03-01,2010-10-01,4,Clean Technology
48712,1,10000.0,USA,Los Angeles,1,2007-11-01,4,2012-09-09,2012-09-09,1,Music
48713,1,1800000.0,USA,SF Bay Area,1,2011-02-01,1,2012-09-11,2012-09-11,4,Curated Web
48716,0,572000.0,USA,New York City,2,2009-01-01,1,2009-10-01,2010-04-15,3,Curated Web
48718,1,1500000.0,USA,Sacramento,1,2007-01-01,1,2011-09-06,2011-09-06,4,Software
48719,1,2700000.0,USA,SF Bay Area,3,2006-06-01,2,2007-10-10,2010-01-01,4,Internet
48720,1,250000.0,USA,SF Bay Area,1,2006-11-01,4,2006-10-01,2006-10-01,2,Curated Web
48721,1,43179.0,CAN,St Johns,1,2007-01-21,1,2007-03-25,2007-03-25,1,0_other_cat
48724,1,13766667.0,USA,Nashville,2,2012-01-01,1,2013-07-24,2014-06-11,5,ECommerce
48728,0,5000.0,USA,Atlantic City,1,2014-05-25,2,2014-05-16,2014-05-16,1,Games
48731,1,50000.0,USA,Reno  Sparks,1,2010-01-01,1,2010-01-01,2010-01-01,1,Curated Web
48732,1,1500000.0,USA,SF Bay Area,1,2013-10-01,4,2006-06-25,2006-06-25,4,0_other_cat
48735,1,11500000.0,USA,SF Bay Area,2,2005-02-01,1,2005-11-01,2006-04-01,5,Video
48737,1,400000.0,GBR,London,1,2010-09-10,3,2013-05-30,2013-05-30,2,Software
48738,1,2000000.0,USA,SF Bay Area,1,2007-01-01,1,2011-08-23,2011-08-23,4,Finance
48739,1,5000000.0,USA,Salt Lake City,1,2011-01-01,1,2011-04-25,2011-04-25,5,Curated Web
48741,0,16820910.0,CHN,Beijing,2,2007-01-01,1,2009-02-03,2013-08-01,5,Games
48742,1,30000000.0,CHN,Beijing,1,2011-09-01,3,2013-04-01,2013-04-01,5,ECommerce
48743,1,300000.0,USA,Jacksonville,1,2006-10-01,4,2009-05-20,2009-05-20,2,Curated Web
48744,1,45000.0,USA,Santa Barbara,1,2013-10-01,4,2014-04-01,2014-04-01,1,ECommerce
48745,1,1500000.0,USA,Los Angeles,1,2008-01-01,1,2012-01-30,2012-01-30,4,Mobile
48746,1,20000000.0,CHN,Beijing,3,2007-01-01,1,2010-02-24,2012-07-27,5,Advertising
48747,1,10000000.0,GBR,London,3,2013-05-01,2,2013-08-29,2014-05-21,5,Mobile
48748,1,1300000.0,SGP,Singapore,1,2012-10-10,4,2014-05-21,2014-05-21,4,Software
48749,1,960000.0,USA,SF Bay Area,1,2013-10-29,4,2014-01-27,2014-01-27,3,0_other_cat
48751,1,240000.0,USA,Seattle,1,2000-08-09,3,2001-01-01,2001-01-01,2,Software
48752,1,37700000.0,GBR,London,3,2012-02-02,1,2012-07-01,2014-11-25,5,Mobile
48754,1,71370.0,GBR,Daresbury,1,2009-02-01,1,2009-02-01,2009-02-01,1,Mobile
48755,1,50000.0,USA,New York City,1,2011-06-01,2,2012-01-01,2012-01-01,1,Social Media
48762,1,12000000.0,USA,SF Bay Area,1,2013-01-01,1,2013-11-19,2013-11-19,5,ECommerce
48764,1,641893.0,GBR,London,1,2011-05-11,2,2011-07-01,2011-07-01,3,Software
48766,1,20000000.0,CHN,Beijing,2,2003-04-01,2,2008-10-01,2011-03-01,5,0_other_cat
48771,1,160000.0,USA,San Diego,1,2012-01-01,1,2012-04-01,2012-04-01,2,Curated Web
48776,1,50000.0,USA,San Diego,1,2010-01-01,1,2011-04-01,2011-04-01,1,Social Media
48777,1,9158698.0,USA,SF Bay Area,4,2009-01-01,1,2010-08-30,2012-03-21,5,0_other_cat
48780,1,20000000.0,CHN,CHN  Other,1,2013-01-01,1,2014-05-19,2014-05-19,5,0_other_cat
48783,1,2894000.0,ESP,Madrid,1,2009-10-20,4,2011-04-12,2011-04-12,3,Curated Web
48786,1,1472100.0,BEL,Brussels,1,2006-08-01,3,2008-01-01,2008-01-01,1,0_other_cat
48787,1,1587301.0,CHN,Beijing,1,2010-10-01,4,2012-01-01,2012-01-01,4,0_other_cat
48789,1,16236400.0,CHN,Beijing,1,2012-06-01,2,2013-10-01,2013-10-01,5,Mobile
48790,1,40000.0,BRA,BRA  Other,1,2011-01-01,1,2012-02-10,2012-02-10,1,Games
